cohort,role,concept,variable,label
ELSA,core,iadl_count,r4iadlzaa,r4iadlzaa:w4 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r5iadla,r5iadla:w5 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r5iadlfoura,r5iadlfoura:w5 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r5iadlza,r5iadlza:w5 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r5iadlzaa,r5iadlzaa:w5 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r6iadla,r6iadla:w6 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r6iadlfoura,r6iadlfoura:w6 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r6iadlza,r6iadlza:w6 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r6iadlzaa,r6iadlzaa:w6 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r7iadla,r7iadla:w7 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r7iadlfoura,r7iadlfoura:w7 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r7iadlza,r7iadlza:w7 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r7iadlzaa,r7iadlzaa:w7 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r8iadla,r8iadla:w8 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r8iadlfoura,r8iadlfoura:w8 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r8iadlza,r8iadlza:w8 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r8iadlzaa,r8iadlzaa:w8 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_count,r9iadla,r9iadla:w9 R Some Diff-IADLs:3-Item /0-3
ELSA,core,iadl_count,r9iadlfoura,r9iadlfoura:w9 whether R has Any Diff-IADLs:4-item
ELSA,core,iadl_count,r9iadlza,r9iadlza:w9 R Some Diff-IADLs:5-item /0-5
ELSA,core,iadl_count,r9iadlzaa,r9iadlzaa:w9 whether R has Any Diff-IADLs:5-item
ELSA,core,iadl_item,r10mealsa,r10mealsa:w10 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r10medsa,r10medsa:w10 R Some Diff-Take medications
ELSA,core,iadl_item,r10moneya,r10moneya:w10 R Some Diff-Managing money
ELSA,core,iadl_item,r10phonea,r10phonea:w10 R Some Diff-Use a telephone
ELSA,core,iadl_item,r10shopa,r10shopa:w10 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r1mealsa,r1mealsa:w1 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r1medsa,r1medsa:w1 R Some Diff-Take medications
ELSA,core,iadl_item,r1moneya,r1moneya:w1 R Some Diff-Managing money
ELSA,core,iadl_item,r1phonea,r1phonea:w1 R Some Diff-Use a telephone
ELSA,core,iadl_item,r1shopa,r1shopa:w1 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r2mealsa,r2mealsa:w2 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r2medsa,r2medsa:w2 R Some Diff-Take medications
ELSA,core,iadl_item,r2moneya,r2moneya:w2 R Some Diff-Managing money
ELSA,core,iadl_item,r2phonea,r2phonea:w2 R Some Diff-Use a telephone
ELSA,core,iadl_item,r2shopa,r2shopa:w2 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r3mealsa,r3mealsa:w3 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r3medsa,r3medsa:w3 R Some Diff-Take medications
ELSA,core,iadl_item,r3moneya,r3moneya:w3 R Some Diff-Managing money
ELSA,core,iadl_item,r3phonea,r3phonea:w3 R Some Diff-Use a telephone
ELSA,core,iadl_item,r3shopa,r3shopa:w3 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r4mealsa,r4mealsa:w4 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r4medsa,r4medsa:w4 R Some Diff-Take medications
ELSA,core,iadl_item,r4moneya,r4moneya:w4 R Some Diff-Managing money
ELSA,core,iadl_item,r4phonea,r4phonea:w4 R Some Diff-Use a telephone
ELSA,core,iadl_item,r4shopa,r4shopa:w4 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r5mealsa,r5mealsa:w5 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r5medsa,r5medsa:w5 R Some Diff-Take medications
ELSA,core,iadl_item,r5moneya,r5moneya:w5 R Some Diff-Managing money
ELSA,core,iadl_item,r5phonea,r5phonea:w5 R Some Diff-Use a telephone
ELSA,core,iadl_item,r5shopa,r5shopa:w5 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r6mealsa,r6mealsa:w6 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r6medsa,r6medsa:w6 R Some Diff-Take medications
ELSA,core,iadl_item,r6moneya,r6moneya:w6 R Some Diff-Managing money
ELSA,core,iadl_item,r6phonea,r6phonea:w6 R Some Diff-Use a telephone
ELSA,core,iadl_item,r6shopa,r6shopa:w6 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r7mealsa,r7mealsa:w7 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r7medsa,r7medsa:w7 R Some Diff-Take medications
ELSA,core,iadl_item,r7moneya,r7moneya:w7 R Some Diff-Managing money
ELSA,core,iadl_item,r7phonea,r7phonea:w7 R Some Diff-Use a telephone
ELSA,core,iadl_item,r7shopa,r7shopa:w7 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r8mealsa,r8mealsa:w8 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r8medsa,r8medsa:w8 R Some Diff-Take medications
ELSA,core,iadl_item,r8moneya,r8moneya:w8 R Some Diff-Managing money
ELSA,core,iadl_item,r8phonea,r8phonea:w8 R Some Diff-Use a telephone
ELSA,core,iadl_item,r8shopa,r8shopa:w8 R Some Diff-Shop for grocery
ELSA,core,iadl_item,r9mealsa,r9mealsa:w9 R Some Diff-Prepare hot meal
ELSA,core,iadl_item,r9medsa,r9medsa:w9 R Some Diff-Take medications
ELSA,core,iadl_item,r9moneya,r9moneya:w9 R Some Diff-Managing money
ELSA,core,iadl_item,r9phonea,r9phonea:w9 R Some Diff-Use a telephone
ELSA,core,iadl_item,r9shopa,r9shopa:w9 R Some Diff-Shop for grocery
ELSA,core,in_wave,inw1,inw1: =1 if respondent w1
ELSA,core,in_wave,inw10,inw10: =1 if respondent w10
ELSA,core,in_wave,inw2,inw2: =1 if respondent w2
ELSA,core,in_wave,inw3,inw3: =1 if respondent w3
ELSA,core,in_wave,inw4,inw4: =1 if respondent w4
ELSA,core,in_wave,inw5,inw5: =1 if respondent w5
ELSA,core,in_wave,inw6,inw6: =1 if respondent w6
ELSA,core,in_wave,inw7,inw7: =1 if respondent w7
ELSA,core,in_wave,inw8,inw8: =1 if respondent w8
ELSA,core,in_wave,inw9,inw9: =1 if respondent w9
ELSA,core,interview_status,r10iwstat,r10iwstat:w10 r interview status
ELSA,core,interview_status,r1iwstat,r1iwstat:w1 r interview status
ELSA,core,interview_status,r2iwstat,r2iwstat:w2 r interview status
ELSA,core,interview_status,r3iwstat,r3iwstat:w3 r interview status
ELSA,core,interview_status,r4iwstat,r4iwstat:w4 r interview status
ELSA,core,interview_status,r5iwstat,r5iwstat:w5 r interview status
ELSA,core,interview_status,r6iwstat,r6iwstat:w6 r interview status
ELSA,core,interview_status,r7iwstat,r7iwstat:w7 r interview status
ELSA,core,interview_status,r8iwstat,r8iwstat:w8 r interview status
ELSA,core,interview_status,r9iwstat,r9iwstat:w9 r interview status
ELSA,core,interview_status,s10iwstat,s10iwstat:w10 s interview status
ELSA,core,interview_status,s1iwstat,s1iwstat:w1 s interview status
ELSA,core,interview_status,s2iwstat,s2iwstat:w2 s interview status
ELSA,core,interview_status,s3iwstat,s3iwstat:w3 s interview status
ELSA,core,interview_status,s4iwstat,s4iwstat:w4 s interview status
ELSA,core,interview_status,s5iwstat,s5iwstat:w5 s interview status
ELSA,core,interview_status,s6iwstat,s6iwstat:w6 s interview status
ELSA,core,interview_status,s7iwstat,s7iwstat:w7 s interview status
ELSA,core,interview_status,s8iwstat,s8iwstat:w8 s interview status
ELSA,core,interview_status,s9iwstat,s9iwstat:w9 s interview status
ELSA,core,interview_time,hh1iwhhf,hh1iwhhf:w1 household interview date flag
ELSA,core,interview_time,hh1iwhhm,hh1iwhhm:w1 household interview month
ELSA,core,interview_time,hh1iwhhy,hh1iwhhy:w1 household interview year
ELSA,core,interview_time,hh2iwhhf,hh2iwhhf:w2 household interview date flag
ELSA,core,interview_time,hh2iwhhm,hh2iwhhm:w2 household interview month
ELSA,core,interview_time,hh2iwhhy,hh2iwhhy:w2 household interview year
ELSA,core,interview_time,hh3iwhhf,hh3iwhhf:w3 household interview date flag
ELSA,core,interview_time,hh3iwhhm,hh3iwhhm:w3 household interview month
ELSA,core,interview_time,hh3iwhhy,hh3iwhhy:w3 household interview year
ELSA,core,interview_time,hh4iwhhf,hh4iwhhf:w4 household interview date flag
ELSA,core,interview_time,hh4iwhhm,hh4iwhhm:w4 household interview month
ELSA,core,interview_time,hh4iwhhy,hh4iwhhy:w4 household interview year
ELSA,core,interview_time,r10iwf,r10iwf:w10 r individual interview date flag
ELSA,core,interview_time,r10iwm,r10iwm:w10 r individual interview month
ELSA,core,interview_time,r10iwy,r10iwy:w10 r individual interview year
ELSA,core,interview_time,r1iwf,r1iwf:w1 r individual interview date flag
ELSA,core,interview_time,r1iwm,r1iwm:w1 r individual interview month
ELSA,core,interview_time,r1iwy,r1iwy:w1 r individual interview year
ELSA,core,interview_time,r2iwf,r2iwf:w2 r individual interview date flag
ELSA,core,interview_time,r2iwm,r2iwm:w2 r individual interview month
ELSA,core,interview_time,r2iwnrsm,r2iwnrsm:w2 r nurse interview month
ELSA,core,interview_time,r2iwnrsy,r2iwnrsy:w2 r nurse interview year
ELSA,core,interview_time,r2iwy,r2iwy:w2 r individual interview year
ELSA,core,interview_time,r3iwf,r3iwf:w3 r individual interview date flag
ELSA,core,interview_time,r3iwm,r3iwm:w3 r individual interview month
ELSA,core,interview_time,r3iwy,r3iwy:w3 r individual interview year
ELSA,core,interview_time,r4iwf,r4iwf:w4 r individual interview date flag
ELSA,core,interview_time,r4iwm,r4iwm:w4 r individual interview month
ELSA,core,interview_time,r4iwnrsm,r4iwnrsm:w4 r nurse interview month
ELSA,core,interview_time,r4iwnrsy,r4iwnrsy:w4 r nurse interview year
ELSA,core,interview_time,r4iwy,r4iwy:w4 r individual interview year
ELSA,core,interview_time,r5iwf,r5iwf:w5 r individual interview date flag
ELSA,core,interview_time,r5iwm,r5iwm:w5 r individual interview month
ELSA,core,interview_time,r5iwy,r5iwy:w5 r individual interview year
ELSA,core,interview_time,r6iwf,r6iwf:w6 r individual interview date flag
ELSA,core,interview_time,r6iwm,r6iwm:w6 r individual interview month
ELSA,core,interview_time,r6iwnrsm,r6iwnrsm:w6 r nurse interview month
ELSA,core,interview_time,r6iwnrsy,r6iwnrsy:w6 r nurse interview year
ELSA,core,interview_time,r6iwy,r6iwy:w6 r individual interview year
ELSA,core,interview_time,r7iwf,r7iwf:w7 r individual interview date flag
ELSA,core,interview_time,r7iwm,r7iwm:w7 r individual interview month
ELSA,core,interview_time,r7iwy,r7iwy:w7 r individual interview year
ELSA,core,interview_time,r8iwf,r8iwf:w8 r individual interview date flag
ELSA,core,interview_time,r8iwm,r8iwm:w8 r individual interview month
ELSA,core,interview_time,r8iwnrsm,r8iwnrsm:w8-9 r nurse interview month
ELSA,core,interview_time,r8iwnrsy,r8iwnrsy:w8-9 r nurse interview year
ELSA,core,interview_time,r8iwy,r8iwy:w8 r individual interview year
ELSA,core,interview_time,r9iwf,r9iwf:w9 r individual interview date flag
ELSA,core,interview_time,r9iwm,r9iwm:w9 r individual interview month
ELSA,core,interview_time,r9iwy,r9iwy:w9 r individual interview year
ELSA,core,interview_time,s10iwf,s10iwf:w10 s individual interview date flag
ELSA,core,interview_time,s10iwm,s10iwm:w10 s individual interview month
ELSA,core,interview_time,s10iwy,s10iwy:w10 s individual interview year
ELSA,core,interview_time,s1iwf,s1iwf:w1 s individual interview date flag
ELSA,core,interview_time,s1iwm,s1iwm:w1 s individual interview month
ELSA,core,interview_time,s1iwy,s1iwy:w1 s individual interview year
ELSA,core,interview_time,s2iwf,s2iwf:w2 s individual interview date flag
ELSA,core,interview_time,s2iwm,s2iwm:w2 s individual interview month
ELSA,core,interview_time,s2iwnrsm,s2iwnrsm:w2 s nurse interview month
ELSA,core,interview_time,s2iwnrsy,s2iwnrsy:w2 s nurse interview year
ELSA,core,interview_time,s2iwy,s2iwy:w2 s individual interview year
ELSA,core,interview_time,s3iwf,s3iwf:w3 s individual interview date flag
ELSA,core,interview_time,s3iwm,s3iwm:w3 s individual interview month
ELSA,core,interview_time,s3iwy,s3iwy:w3 s individual interview year
ELSA,core,interview_time,s4iwf,s4iwf:w4 s individual interview date flag
ELSA,core,interview_time,s4iwm,s4iwm:w4 s individual interview month
ELSA,core,interview_time,s4iwnrsm,s4iwnrsm:w4 s nurse interview month
ELSA,core,interview_time,s4iwnrsy,s4iwnrsy:w4 s nurse interview year
ELSA,core,interview_time,s4iwy,s4iwy:w4 s individual interview year
ELSA,core,interview_time,s5iwf,s5iwf:w5 s individual interview date flag
ELSA,core,interview_time,s5iwm,s5iwm:w5 s individual interview month
ELSA,core,interview_time,s5iwy,s5iwy:w5 s individual interview year
ELSA,core,interview_time,s6iwf,s6iwf:w6 s individual interview date flag
ELSA,core,interview_time,s6iwm,s6iwm:w6 s individual interview month
ELSA,core,interview_time,s6iwnrsm,s6iwnrsm:w6 s nurse interview month
ELSA,core,interview_time,s6iwnrsy,s6iwnrsy:w6 s nurse interview year
ELSA,core,interview_time,s6iwy,s6iwy:w6 s individual interview year
ELSA,core,interview_time,s7iwf,s7iwf:w7 s individual interview date flag
ELSA,core,interview_time,s7iwm,s7iwm:w7 s individual interview month
ELSA,core,interview_time,s7iwy,s7iwy:w7 s individual interview year
ELSA,core,interview_time,s8iwf,s8iwf:w8 s individual interview date flag
ELSA,core,interview_time,s8iwm,s8iwm:w8 s individual interview month
ELSA,core,interview_time,s8iwnrsm,s8iwnrsm:w8-9 s nurse interview month
ELSA,core,interview_time,s8iwnrsy,s8iwnrsy:w8-9 s nurse interview year
ELSA,core,interview_time,s8iwy,s8iwy:w8 s individual interview year
ELSA,core,interview_time,s9iwf,s9iwf:w9 s individual interview date flag
ELSA,core,interview_time,s9iwm,s9iwm:w9 s individual interview month
ELSA,core,interview_time,s9iwy,s9iwy:w9 s individual interview year
ELSA,core,person_id,idauniq,idauniq:unique individual serial number /num
ELSA,core,proxy,r10proxy,r10proxy:w10 r whether proxy interview
ELSA,core,proxy,r1proxy,r1proxy:w1 r whether proxy interview
ELSA,core,proxy,r2proxy,r2proxy:w2 r whether proxy interview
ELSA,core,proxy,r3proxy,r3proxy:w3 r whether proxy interview
ELSA,core,proxy,r4proxy,r4proxy:w4 r whether proxy interview
ELSA,core,proxy,r5proxy,r5proxy:w5 r whether proxy interview
ELSA,core,proxy,r6proxy,r6proxy:w6 r whether proxy interview
ELSA,core,proxy,r7proxy,r7proxy:w7 r whether proxy interview
ELSA,core,proxy,r8proxy,r8proxy:w8 r whether proxy interview
ELSA,core,proxy,r9proxy,r9proxy:w9 r whether proxy interview
ELSA,core,proxy,s10proxy,s10proxy:w10 s whether proxy interview
ELSA,core,proxy,s1proxy,s1proxy:w1 s whether proxy interview
ELSA,core,proxy,s2proxy,s2proxy:w2 s whether proxy interview
ELSA,core,proxy,s3proxy,s3proxy:w3 s whether proxy interview
ELSA,core,proxy,s4proxy,s4proxy:w4 s whether proxy interview
ELSA,core,proxy,s5proxy,s5proxy:w5 s whether proxy interview
ELSA,core,proxy,s6proxy,s6proxy:w6 s whether proxy interview
ELSA,core,proxy,s7proxy,s7proxy:w7 s whether proxy interview
ELSA,core,proxy,s8proxy,s8proxy:w8 s whether proxy interview
ELSA,core,proxy,s9proxy,s9proxy:w9 s whether proxy interview
ELSA,core,respondent_weight,r10lwtresp,"r10lwtresp:w10 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r10wtresp,"r10wtresp:w10 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r1wtresp,"r1wtresp:w1 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r2lwtresp,"r2lwtresp:w2 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r2wtresp,"r2wtresp:w2 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r3lwtresp,"r3lwtresp:w3 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r3wtresp,"r3wtresp:w3 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r4lwtresp,"r4lwtresp:w4 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r4wtresp,"r4wtresp:w4 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r5lwtresp,"r5lwtresp:w5 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r5wtresp,"r5wtresp:w5 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r6lwtresp,"r6lwtresp:w6 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r6wtresp,"r6wtresp:w6 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r7lwtresp,"r7lwtresp:w7 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r7wtresp,"r7wtresp:w7 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r8lwtresp,"r8lwtresp:w8 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r8wtresp,"r8wtresp:w8 r person-level cross-sectional weight, core sample"
ELSA,core,respondent_weight,r9lwtresp,"r9lwtresp:w9 r person-level longitudinal weight, core sample"
ELSA,core,respondent_weight,r9wtresp,"r9wtresp:w9 r person-level cross-sectional weight, core sample"
ELSA,core,sex,ragender,ragender: r gender
ELSA,core,survey_design,r10strat,r10strat:w10 hse stratification variable
ELSA,core,survey_design,r1strat,r1strat:w1 hse stratification variable
ELSA,core,survey_design,r2strat,r2strat:w2 hse stratification variable
ELSA,core,survey_design,r3strat,r3strat:w3 hse stratification variable
ELSA,core,survey_design,r4strat,r4strat:w4 hse stratification variable
ELSA,core,survey_design,r5strat,r5strat:w5 hse stratification variable
ELSA,core,survey_design,r6strat,r6strat:w6 hse stratification variable
ELSA,core,survey_design,r7strat,r7strat:w7 hse stratification variable
ELSA,core,survey_design,r8strat,r8strat:w8 hse stratification variable
ELSA,core,survey_design,r9strat,r9strat:w9 hse stratification variable
HRS,core,adl_count,r10adl5a,r10adl5a:w10 any diff-sum of adls /0-5
HRS,core,adl_count,r11adl5a,r11adl5a:w11 any diff-sum of adls /0-5
HRS,core,adl_count,r12adl5a,r12adl5a:w12 any diff-sum of adls /0-5
HRS,core,adl_count,r13adl5a,r13adl5a:w13 any diff-sum of adls /0-5
HRS,core,adl_count,r14adl5a,r14adl5a:w14 any diff-sum of adls /0-5
HRS,core,adl_count,r15adl5a,r15adl5a:w15 any diff-sum of adls /0-5
HRS,core,adl_count,r16adl5a,r16adl5a:w16 any diff-sum of adls /0-5
HRS,core,adl_count,r2adl5a,r2adl5a:w2 any diff-sum of adls /0-5
HRS,core,adl_count,r3adl5a,r3adl5a:w3 any diff-sum of adls /0-5
HRS,core,adl_count,r4adl5a,r4adl5a:w4 any diff-sum of adls /0-5
HRS,core,adl_count,r5adl5a,r5adl5a:w5 any diff-sum of adls /0-5
HRS,core,adl_count,r6adl5a,r6adl5a:w6 any diff-sum of adls /0-5
HRS,core,adl_count,r7adl5a,r7adl5a:w7 any diff-sum of adls /0-5
HRS,core,adl_count,r8adl5a,r8adl5a:w8 any diff-sum of adls /0-5
HRS,core,adl_count,r9adl5a,r9adl5a:w9 any diff-sum of adls /0-5
HRS,core,adl_item,r10bath,r10bath:w10 r diff-bathing or showerng
HRS,core,adl_item,r10batha,"r10batha:w10 r any diff-bathing, shower"
HRS,core,adl_item,r10bed,r10bed:w10 r diff-get in/out of bed
HRS,core,adl_item,r10beda,r10beda:w10 r any diff-get in/out bed
HRS,core,adl_item,r10dress,r10dress:w10 r diff-dressing
HRS,core,adl_item,r10dressa,r10dressa:w10 r any diff-dressing
HRS,core,adl_item,r10eat,r10eat:w10 r diff-eating
HRS,core,adl_item,r10eata,r10eata:w10 r any diff-eating
HRS,core,adl_item,r10toilt,r10toilt:w10 r diff-using the toilet
HRS,core,adl_item,r10toilta,r10toilta:w10 r any diff-using the toilet
HRS,core,adl_item,r10walkr,r10walkr:w10 r diff-walk across room
HRS,core,adl_item,r10walkra,r10walkra:w10 r any diff-walk across room
HRS,core,adl_item,r11bath,r11bath:w11 r diff-bathing or showerng
HRS,core,adl_item,r11batha,"r11batha:w11 r any diff-bathing, shower"
HRS,core,adl_item,r11bed,r11bed:w11 r diff-get in/out of bed
HRS,core,adl_item,r11beda,r11beda:w11 r any diff-get in/out bed
HRS,core,adl_item,r11dress,r11dress:w11 r diff-dressing
HRS,core,adl_item,r11dressa,r11dressa:w11 r any diff-dressing
HRS,core,adl_item,r11eat,r11eat:w11 r diff-eating
HRS,core,adl_item,r11eata,r11eata:w11 r any diff-eating
HRS,core,adl_item,r11toilt,r11toilt:w11 r diff-using the toilet
HRS,core,adl_item,r11toilta,r11toilta:w11 r any diff-using the toilet
HRS,core,adl_item,r11walkr,r11walkr:w11 r diff-walk across room
HRS,core,adl_item,r11walkra,r11walkra:w11 r any diff-walk across room
HRS,core,adl_item,r12bath,r12bath:w12 r diff-bathing or showerng
HRS,core,adl_item,r12batha,"r12batha:w12 r any diff-bathing, shower"
HRS,core,adl_item,r12bed,r12bed:w12 r diff-get in/out of bed
HRS,core,adl_item,r12beda,r12beda:w12 r any diff-get in/out bed
HRS,core,adl_item,r12dress,r12dress:w12 r diff-dressing
HRS,core,adl_item,r12dressa,r12dressa:w12 r any diff-dressing
HRS,core,adl_item,r12eat,r12eat:w12 r diff-eating
HRS,core,adl_item,r12eata,r12eata:w12 r any diff-eating
HRS,core,adl_item,r12toilt,r12toilt:w12 r diff-using the toilet
HRS,core,adl_item,r12toilta,r12toilta:w12 r any diff-using the toilet
HRS,core,adl_item,r12walkr,r12walkr:w12 r diff-walk across room
HRS,core,adl_item,r12walkra,r12walkra:w12 r any diff-walk across room
HRS,core,adl_item,r13bath,r13bath:w13 r diff-bathing or showerng
HRS,core,adl_item,r13batha,"r13batha:w13 r any diff-bathing, shower"
HRS,core,adl_item,r13bed,r13bed:w13 r diff-get in/out of bed
HRS,core,adl_item,r13beda,r13beda:w13 r any diff-get in/out bed
HRS,core,adl_item,r13dress,r13dress:w13 r diff-dressing
HRS,core,adl_item,r13dressa,r13dressa:w13 r any diff-dressing
HRS,core,adl_item,r13eat,r13eat:w13 r diff-eating
HRS,core,adl_item,r13eata,r13eata:w13 r any diff-eating
HRS,core,adl_item,r13toilt,r13toilt:w13 r diff-using the toilet
HRS,core,adl_item,r13toilta,r13toilta:w13 r any diff-using the toilet
HRS,core,adl_item,r13walkr,r13walkr:w13 r diff-walk across room
HRS,core,adl_item,r13walkra,r13walkra:w13 r any diff-walk across room
HRS,core,adl_item,r14bath,r14bath:w14 r diff-bathing or showerng
HRS,core,adl_item,r14batha,"r14batha:w14 r any diff-bathing, shower"
HRS,core,adl_item,r14bed,r14bed:w14 r diff-get in/out of bed
HRS,core,adl_item,r14beda,r14beda:w14 r any diff-get in/out bed
HRS,core,adl_item,r14dress,r14dress:w14 r diff-dressing
HRS,core,adl_item,r14dressa,r14dressa:w14 r any diff-dressing
HRS,core,adl_item,r14eat,r14eat:w14 r diff-eating
HRS,core,adl_item,r14eata,r14eata:w14 r any diff-eating
HRS,core,adl_item,r14toilt,r14toilt:w14 r diff-using the toilet
HRS,core,adl_item,r14toilta,r14toilta:w14 r any diff-using the toilet
HRS,core,adl_item,r14walkr,r14walkr:w14 r diff-walk across room
HRS,core,adl_item,r14walkra,r14walkra:w14 r any diff-walk across room
HRS,core,adl_item,r15bath,r15bath:w15 r diff-bathing or showerng
HRS,core,adl_item,r15batha,"r15batha:w15 r any diff-bathing, shower"
HRS,core,adl_item,r15bed,r15bed:w15 r diff-get in/out of bed
HRS,core,adl_item,r15beda,r15beda:w15 r any diff-get in/out bed
HRS,core,adl_item,r15dress,r15dress:w15 r diff-dressing
HRS,core,adl_item,r15dressa,r15dressa:w15 r any diff-dressing
HRS,core,adl_item,r15eat,r15eat:w15 r diff-eating
HRS,core,adl_item,r15eata,r15eata:w15 r any diff-eating
HRS,core,adl_item,r15toilt,r15toilt:w15 r diff-using the toilet
HRS,core,adl_item,r15toilta,r15toilta:w15 r any diff-using the toilet
HRS,core,adl_item,r15walkr,r15walkr:w15 r diff-walk across room
HRS,core,adl_item,r15walkra,r15walkra:w15 r any diff-walk across room
HRS,core,adl_item,r16bath,r16bath:w16 r diff-bathing or showerng
HRS,core,adl_item,r16batha,"r16batha:w16 r any diff-bathing, shower"
HRS,core,adl_item,r16bed,r16bed:w16 r diff-get in/out of bed
HRS,core,adl_item,r16beda,r16beda:w16 r any diff-get in/out bed
HRS,core,adl_item,r16dress,r16dress:w16 r diff-dressing
HRS,core,adl_item,r16dressa,r16dressa:w16 r any diff-dressing
HRS,core,adl_item,r16eat,r16eat:w16 r diff-eating
HRS,core,adl_item,r16eata,r16eata:w16 r any diff-eating
HRS,core,adl_item,r16toilt,r16toilt:w16 r diff-using the toilet
HRS,core,adl_item,r16toilta,r16toilta:w16 r any diff-using the toilet
HRS,core,adl_item,r16walkr,r16walkr:w16 r diff-walk across room
HRS,core,adl_item,r16walkra,r16walkra:w16 r any diff-walk across room
HRS,core,adl_item,r1bath,r1bath:w1 r diff-bathing or showerng
HRS,core,adl_item,r1bed,r1bed:w1 r diff-get in/out of bed
HRS,core,adl_item,r1dress,r1dress:w1 r diff-dressing
HRS,core,adl_item,r1eat,r1eat:w1 r diff-eating
HRS,core,adl_item,r1walkr,r1walkr:w1 r diff-walk across room
HRS,core,adl_item,r2bath,r2bath:w2 r diff-bathing or showerng
HRS,core,adl_item,r2batha,"r2batha:w2 r any diff-bathing, shower"
HRS,core,adl_item,r2bed,r2bed:w2 r diff-get in/out of bed
HRS,core,adl_item,r2beda,r2beda:w2 r any diff-get in/out bed
HRS,core,adl_item,r2dress,r2dress:w2 r diff-dressing
HRS,core,adl_item,r2dressa,r2dressa:w2 r any diff-dressing
HRS,core,adl_item,r2eat,r2eat:w2 r diff-eating
HRS,core,adl_item,r2eata,r2eata:w2 r any diff-eating
HRS,core,adl_item,r2toilt,r2toilt:w2 r diff-using the toilet
HRS,core,adl_item,r2toilta,r2toilta:w2 r any diff-using the toilet
HRS,core,adl_item,r2walkr,r2walkr:w2 r diff-walk across room
HRS,core,adl_item,r2walkra,r2walkra:w2 r any diff-walk across room
HRS,core,adl_item,r3bath,r3bath:w3 r diff-bathing or showerng
HRS,core,adl_item,r3batha,"r3batha:w3 r any diff-bathing, shower"
HRS,core,adl_item,r3bed,r3bed:w3 r diff-get in/out of bed
HRS,core,adl_item,r3beda,r3beda:w3 r any diff-get in/out bed
HRS,core,adl_item,r3dress,r3dress:w3 r diff-dressing
HRS,core,adl_item,r3dressa,r3dressa:w3 r any diff-dressing
HRS,core,adl_item,r3eat,r3eat:w3 r diff-eating
HRS,core,adl_item,r3eata,r3eata:w3 r any diff-eating
HRS,core,adl_item,r3toilt,r3toilt:w3 r diff-using the toilet
HRS,core,adl_item,r3toilta,r3toilta:w3 r any diff-using the toilet
HRS,core,adl_item,r3walkr,r3walkr:w3 r diff-walk across room
