cohort,wave,domain,canonical_item,canonical_token,source_variable,source_label,source_layer,independent_code,difficulty_code,missing_rule
ELSA,8,ADL,Getting in or out of bed,beda,r8beda,r8beda:w8 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,ADL,Using the toilet,toilta,r8toilta,r8toilta:w8 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,IADL,Managing money,moneya,r8moneya,r8moneya:w8 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,IADL,Preparing a hot meal,mealsa,r8mealsa,r8mealsa:w8 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,IADL,Shopping for groceries,shopa,r8shopa,r8shopa:w8 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,8,IADL,Taking medications,medsa,r8medsa,r8medsa:w8 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,ADL,Bathing or showering,batha,r9batha,"r9batha:w9 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,ADL,Dressing,dressa,r9dressa,r9dressa:w9 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,ADL,Eating,eata,r9eata,r9eata:w9 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,ADL,Getting in or out of bed,beda,r9beda,r9beda:w9 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,ADL,Using the toilet,toilta,r9toilta,r9toilta:w9 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,IADL,Managing money,moneya,r9moneya,r9moneya:w9 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,IADL,Preparing a hot meal,mealsa,r9mealsa,r9mealsa:w9 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,IADL,Shopping for groceries,shopa,r9shopa,r9shopa:w9 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,9,IADL,Taking medications,medsa,r9medsa,r9medsa:w9 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,ADL,Bathing or showering,batha,r10batha,"r10batha:w10 R Some Diff-Bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,ADL,Dressing,dressa,r10dressa,r10dressa:w10 R Some Diff-Dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,ADL,Eating,eata,r10eata,r10eata:w10 R Some Diff-Eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,ADL,Getting in or out of bed,beda,r10beda,r10beda:w10 R Some Diff-Get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,ADL,Using the toilet,toilta,r10toilta,r10toilta:w10 R Some Diff-Using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,IADL,Managing money,moneya,r10moneya,r10moneya:w10 R Some Diff-Managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,IADL,Preparing a hot meal,mealsa,r10mealsa,r10mealsa:w10 R Some Diff-Prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,IADL,Shopping for groceries,shopa,r10shopa,r10shopa:w10 R Some Diff-Shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,10,IADL,Taking medications,medsa,r10medsa,r10medsa:w10 R Some Diff-Take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
ELSA,11,ADL,Bathing or showering,batha,headlba,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,ADL,Dressing,dressa,headldr,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,ADL,Eating,eata,headlea,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,ADL,Getting in or out of bed,beda,headlbe,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,ADL,Using the toilet,toilta,headlwc,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,IADL,Managing money,moneya,headlmo,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,IADL,Preparing a hot meal,mealsa,headlpr,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,IADL,Shopping for groceries,shopa,headlsh,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
ELSA,11,IADL,Taking medications,medsa,headlme,ELSA wave 11 raw ADL/IADL item,audited raw wave 11 adapter,raw 0 retained as 0,raw 1 retained as 1,All other or missing raw values recoded to missing; the same nine-item complete-state rule is applied
HRS,2,ADL,Bathing or showering,batha,r2batha,"r2batha:w2 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,ADL,Dressing,dressa,r2dressa,r2dressa:w2 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,ADL,Eating,eata,r2eata,r2eata:w2 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,ADL,Getting in or out of bed,beda,r2beda,r2beda:w2 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,ADL,Using the toilet,toilta,r2toilta,r2toilta:w2 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,IADL,Managing money,moneya,r2moneya,r2moneya:w2 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,IADL,Preparing a hot meal,mealsa,r2mealsa,r2mealsa:w2 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,IADL,Shopping for groceries,shopa,r2shopa,r2shopa:w2 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,2,IADL,Taking medications,medsa,r2medsa,r2medsa:w2 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,ADL,Bathing or showering,batha,r3batha,"r3batha:w3 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,ADL,Dressing,dressa,r3dressa,r3dressa:w3 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,ADL,Eating,eata,r3eata,r3eata:w3 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,ADL,Getting in or out of bed,beda,r3beda,r3beda:w3 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,ADL,Using the toilet,toilta,r3toilta,r3toilta:w3 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,IADL,Managing money,moneya,r3moneya,r3moneya:w3 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,IADL,Preparing a hot meal,mealsa,r3mealsa,r3mealsa:w3 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,IADL,Shopping for groceries,shopa,r3shopa,r3shopa:w3 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,3,IADL,Taking medications,medsa,r3medsa,r3medsa:w3 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,ADL,Bathing or showering,batha,r4batha,"r4batha:w4 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,ADL,Dressing,dressa,r4dressa,r4dressa:w4 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,ADL,Eating,eata,r4eata,r4eata:w4 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,ADL,Getting in or out of bed,beda,r4beda,r4beda:w4 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,ADL,Using the toilet,toilta,r4toilta,r4toilta:w4 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,IADL,Managing money,moneya,r4moneya,r4moneya:w4 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,IADL,Preparing a hot meal,mealsa,r4mealsa,r4mealsa:w4 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,IADL,Shopping for groceries,shopa,r4shopa,r4shopa:w4 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,4,IADL,Taking medications,medsa,r4medsa,r4medsa:w4 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,ADL,Bathing or showering,batha,r5batha,"r5batha:w5 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,ADL,Dressing,dressa,r5dressa,r5dressa:w5 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,ADL,Eating,eata,r5eata,r5eata:w5 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,ADL,Getting in or out of bed,beda,r5beda,r5beda:w5 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,ADL,Using the toilet,toilta,r5toilta,r5toilta:w5 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,IADL,Managing money,moneya,r5moneya,r5moneya:w5 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,IADL,Preparing a hot meal,mealsa,r5mealsa,r5mealsa:w5 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,IADL,Shopping for groceries,shopa,r5shopa,r5shopa:w5 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,5,IADL,Taking medications,medsa,r5medsa,r5medsa:w5 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,ADL,Bathing or showering,batha,r6batha,"r6batha:w6 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,ADL,Dressing,dressa,r6dressa,r6dressa:w6 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,ADL,Eating,eata,r6eata,r6eata:w6 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,ADL,Getting in or out of bed,beda,r6beda,r6beda:w6 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,ADL,Using the toilet,toilta,r6toilta,r6toilta:w6 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,IADL,Managing money,moneya,r6moneya,r6moneya:w6 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,IADL,Preparing a hot meal,mealsa,r6mealsa,r6mealsa:w6 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,IADL,Shopping for groceries,shopa,r6shopa,r6shopa:w6 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,6,IADL,Taking medications,medsa,r6medsa,r6medsa:w6 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,ADL,Bathing or showering,batha,r7batha,"r7batha:w7 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,ADL,Dressing,dressa,r7dressa,r7dressa:w7 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,ADL,Eating,eata,r7eata,r7eata:w7 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,ADL,Getting in or out of bed,beda,r7beda,r7beda:w7 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,ADL,Using the toilet,toilta,r7toilta,r7toilta:w7 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,IADL,Managing money,moneya,r7moneya,r7moneya:w7 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,IADL,Preparing a hot meal,mealsa,r7mealsa,r7mealsa:w7 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,IADL,Shopping for groceries,shopa,r7shopa,r7shopa:w7 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,7,IADL,Taking medications,medsa,r7medsa,r7medsa:w7 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,ADL,Bathing or showering,batha,r8batha,"r8batha:w8 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,ADL,Dressing,dressa,r8dressa,r8dressa:w8 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,ADL,Eating,eata,r8eata,r8eata:w8 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,ADL,Getting in or out of bed,beda,r8beda,r8beda:w8 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,ADL,Using the toilet,toilta,r8toilta,r8toilta:w8 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,IADL,Managing money,moneya,r8moneya,r8moneya:w8 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,IADL,Preparing a hot meal,mealsa,r8mealsa,r8mealsa:w8 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,IADL,Shopping for groceries,shopa,r8shopa,r8shopa:w8 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,8,IADL,Taking medications,medsa,r8medsa,r8medsa:w8 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,ADL,Bathing or showering,batha,r9batha,"r9batha:w9 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,ADL,Dressing,dressa,r9dressa,r9dressa:w9 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,ADL,Eating,eata,r9eata,r9eata:w9 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,ADL,Getting in or out of bed,beda,r9beda,r9beda:w9 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,ADL,Using the toilet,toilta,r9toilta,r9toilta:w9 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,IADL,Managing money,moneya,r9moneya,r9moneya:w9 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,IADL,Preparing a hot meal,mealsa,r9mealsa,r9mealsa:w9 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,IADL,Shopping for groceries,shopa,r9shopa,r9shopa:w9 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,9,IADL,Taking medications,medsa,r9medsa,r9medsa:w9 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,ADL,Bathing or showering,batha,r10batha,"r10batha:w10 r any diff-bathing, shower",harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,ADL,Dressing,dressa,r10dressa,r10dressa:w10 r any diff-dressing,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,ADL,Eating,eata,r10eata,r10eata:w10 r any diff-eating,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,ADL,Getting in or out of bed,beda,r10beda,r10beda:w10 r any diff-get in/out bed,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,ADL,Using the toilet,toilta,r10toilta,r10toilta:w10 r any diff-using the toilet,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,IADL,Managing money,moneya,r10moneya,r10moneya:w10 r any diff-managing money,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,IADL,Preparing a hot meal,mealsa,r10mealsa,r10mealsa:w10 r any diff-prepare hot meal,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,IADL,Shopping for groceries,shopa,r10shopa,r10shopa:w10 r any diff-shop for grocery,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
HRS,10,IADL,Taking medications,medsa,r10medsa,r10medsa:w10 r any diff-take medications,harmonized cohort file,0 (No difficulty),1 (Any difficulty),Special missing/refusal/don't know/skip values are missing; state missing if any required item is unresolved unless a validated complete count yields the same classification
